ENTRY_UNIX_EPOCH_TIME,CREATED_TIME,FIRST_RECHARGE_TIME,PLAN_START_TIME,DEVICE_LIMIT,LCO_ACCOUNT_ID,ENTRY_DATE,TIME_PLAN,LONG_SECONDARY_NAS,PLAN_ID,PLAN_END_TIME,STATUS,CONNECTION,PLAN_AMOUNT,AUTH_STATE,UPDATE_AT,PLAN_NAME,PLAN_INCREASED_IN_SEC
639181443631043743,2026-06-27 08:06:03.104374+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:06:03.104374+00:00,1,,2026-06-27 00:00:00+00:00,90,,1,2026-06-27 08:07:33.104374+00:00,2026-06-27T08-16,,0,1,,,0
639181443612205829,2026-06-27 08:06:01.220583+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:06:01.220583+00:00,1,,2026-06-27 00:00:00+00:00,90,,1,2026-06-27 08:07:31.220583+00:00,2026-06-27T08-15,,0,1,,,0
639181443611907659,2026-06-27 08:06:01.190766+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:06:01.190766+00:00,1,,2026-06-27 00:00:00+00:00,90,,1,2026-06-27 08:07:31.190766+00:00,2026-06-27T08-15,,0,1,,,0
639181443589078957,2026-06-27 08:05:58.907895+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:58.907895+00:00,1,,2026-06-27 00:00:00+00:00,150,,1,2026-06-27 08:08:28.907896+00:00,2026-06-27T08-15,,0,1,,,0
639181443574971060,2026-06-27 08:05:57.497106+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:30.483601+00:00,1,,2026-06-27 00:00:00+00:00,43200,282162172149254.0,15374,2026-06-27 20:05:30.483601+00:00,,,9,1,,,0
639181443427208124,2026-06-27 08:05:42.720812+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:42.720812+00:00,1,,2026-06-27 00:00:00+00:00,150,,1,2026-06-27 08:08:12.720812+00:00,2026-06-27T08-15,,0,1,,,0
639181443425745964,2026-06-27 08:05:42.574596+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:07.492034+00:00,1,,2026-06-27 00:00:00+00:00,21600,282162172085862.0,15373,2026-06-27 14:05:07.492034+00:00,,,5,1,,,0
639181443420373434,2026-06-27 08:05:42.037343+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:42.037343+00:00,1,,2026-06-27 00:00:00+00:00,150,,1,2026-06-27 08:08:12.037343+00:00,2026-06-27T08-15,,0,1,,,0
639181443414853812,2026-06-27 08:05:41.485381+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:41.485381+00:00,1,,2026-06-27 00:00:00+00:00,150,,1,2026-06-27 08:08:11.485381+00:00,2026-06-27T08-15,,0,1,,,0
639181443360553985,2026-06-27 08:05:36.055398+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:01:10.713735+00:00,1,,2026-06-27 00:00:00+00:00,43200,282162172000216.0,15374,2026-06-27 20:01:10.713735+00:00,,,9,1,,,0
639181443335539266,2026-06-27 08:05:33.553926+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:04:48.652318+00:00,1,,2026-06-27 00:00:00+00:00,21600,687195466154.0,15373,2026-06-27 14:04:48.652318+00:00,,,5,1,,,0
639181443331198623,2026-06-27 08:05:33.119862+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:33.119862+00:00,1,,2026-06-27 00:00:00+00:00,90,,1,2026-06-27 08:07:03.119862+00:00,2026-06-27T08-15,,0,1,,,0
639181443283106515,2026-06-27 08:05:28.310651+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:28.310651+00:00,1,,2026-06-27 00:00:00+00:00,150,,1,2026-06-27 08:07:58.310651+00:00,2026-06-27T08-15,,0,1,,,0
639181443136489366,2026-06-27 08:05:13.648936+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:13.648936+00:00,1,,2026-06-27 00:00:00+00:00,90,,1,2026-06-27 08:06:43.648936+00:00,temp,,0,1,,,0
639181443136472639,2026-06-27 08:05:13.647264+00:00,0001-01-01 00:00:00+00:00,2026-06-27 08:05:13.647264+00:00,1,,2026-06-27 00:00:00+00:00,90,,1,2026-06-27 08:06:43.647264+00:00,temp,,0,1,,,0
