TABLE_SCHEMA,TABLE_NAME,ROW_COUNT,BYTES,CREATED,LAST_ALTERED
PUBLIC,CT_PARTNER_FPN_MV,2969149,182220800,2026-06-22 20:52:49.078000+05:30,2026-06-27 11:56:26.549000+05:30
DYNAMODB,CUSTOMER,2786336,386158080,2025-03-25 14:41:10.193000+05:30,2026-06-27 13:23:58.493000+05:30
DYNAMODB,PARTNER_BONUS_DISBURSEMENT,2525985,171560448,2025-03-25 14:41:04.448000+05:30,2026-06-16 22:23:20.609000+05:30
PUBLIC,PARTNER_DISTANCES_GINIE_CHECK1,2450720,20944896,2025-08-01 18:09:33.302000+05:30,2026-01-06 20:30:23.446000+05:30
PUBLIC,CT_PARTNER_ISP_ROUTER_MV,2361602,123357696,2026-06-22 21:07:41.887000+05:30,2026-06-22 21:08:02.991000+05:30
PUBLIC,CUSTOMER_BEHAVIORAL_PROFILE_DAILY,2155384,251159040,2026-03-16 12:13:28.372000+05:30,2026-06-27 02:00:06.202000+05:30
PUBLIC,CUSTOMER_SEGMENTS_V1_DAILY,2155384,75959808,2026-03-16 12:33:33.675000+05:30,2026-06-27 02:00:08.332000+05:30
DS_TABLES,T_PARTNER_CLEVERTAP_DATA,2145543,43703296,2025-11-13 12:44:15.564000+05:30,2026-05-01 06:39:05.570000+05:30
DYNAMODB,PARTNER_DEVICE_BONUS_DISBURSEMENT,1904111,125938176,2025-03-25 14:41:14.636000+05:30,2026-06-16 22:23:21.139000+05:30
DYNAMODB,PARTNER_WORK_BONUS_DISBURSEMENT,1904111,126725632,2025-03-25 14:41:15.258000+05:30,2026-06-16 22:23:59.846000+05:30
PUBLIC,T_ACCOUNT_MAPPING1,1829871,46011392,2026-05-08 13:23:29.071000+05:30,2026-06-27 12:48:07.153000+05:30
PUBLIC,T_ACCOUNT_MAPPING1_PRE_MIGRATION,1815619,36099072,2025-03-26 12:24:41.051000+05:30,2026-03-23 12:47:53.849000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_13_JAN_2026_SHARD_01,1792456,85986304,2026-01-14 13:44:57.485000+05:30,2026-01-14 13:45:01.751000+05:30
DYNAMODB,CUSTOMER_V_2,1728111,246073344,2026-03-06 19:07:52.305000+05:30,2026-06-27 13:23:59.847000+05:30
PUBLIC,T_ROUTER_OPERATION,1693306,73349632,2025-04-15 14:50:59.514000+05:30,2026-06-27 12:46:13.983000+05:30
PUBLIC,CUSTOMER_QUEUE_REPORTING_60DAYS,1565203,189774336,2025-07-14 20:13:35.835000+05:30,2025-10-16 07:30:49.156000+05:30
DYNAMODB,PARTNER_TAX_DETAILS,1355692,57850368,2025-03-25 14:41:16.013000+05:30,2026-05-01 09:23:32.097000+05:30
PUBLIC,CT_CUSTOMER_APP_INSTALL_ACTIVITY_MV,1237555,8779776,2026-06-22 20:15:21.123000+05:30,2026-06-27 11:56:25.759000+05:30
PUBLIC,T_ACCOUNT_BALANCE_SHEET1_HISTORICAL,1225132,71300608,2025-08-27 18:21:43.967000+05:30,2025-08-27 18:23:11.391000+05:30
PUBLIC,PARTNER_DISTANCES_GINIE,1175219,13250560,2025-08-01 18:09:32.984000+05:30,2026-01-06 20:30:22.917000+05:30
PUBLIC,TASKVANILLA_AUDIT_HISTORY_BEFORE_2024_02_01,1167346,45118976,2026-04-01 16:51:44.922000+05:30,2026-04-01 16:51:52.915000+05:30
PUBLIC,PARTNER_DETAILS_LOG,1072856,39986688,2025-06-26 13:19:26.204000+05:30,2026-06-27 00:54:01.770000+05:30
PUBLIC,CUSTOMER_BASE,998064,14512640,2025-12-18 16:06:58.374000+05:30,2026-06-27 04:07:38.769000+05:30
DBT,CUSTOMER_BASE,997083,11590656,2026-06-13 10:42:18.642000+05:30,2026-06-27 12:54:42.334000+05:30
PUBLIC,T_ROUTER_BANDWIDTH,980353,17174016,2025-04-15 15:18:49.426000+05:30,2026-06-27 12:46:16.900000+05:30
PUBLIC,T_CUSTOMER_TICKET,944209,53867008,2025-04-15 14:53:45.198000+05:30,2026-06-27 12:46:09.675000+05:30
PUBLIC,CUSTOMER_QUEUE_REPORTING_60DAYS_NEW2,814297,74406400,2025-10-31 13:17:01.231000+05:30,2025-11-21 21:33:00.190000+05:30
PUBLIC,CUSTOMER_INFLUX_SUMMARY_DUMMY,731108,8997888,2025-12-30 17:29:57.085000+05:30,2026-01-14 01:45:15.692000+05:30
DBT,TASKVANILLA,725206,119699456,2026-06-18 15:55:49.338000+05:30,2026-06-27 12:54:22.208000+05:30
PUBLIC,TASKVANILLA,724657,110431744,2025-05-31 11:13:10.659000+05:30,2026-06-27 13:30:27.709000+05:30
PUBLIC,T_ROUTER_USER_MAPPING_13_JAN_2026_I2E1,694406,36490240,2026-01-14 13:45:30.125000+05:30,2026-01-14 13:45:35.412000+05:30
DBT,FCT_MACRO_FUNNEL_PARTNER,624756,24687616,2026-06-11 13:19:48.172000+05:30,2026-06-11 13:20:06.125000+05:30
PUBLIC,T_ACCOUNT,479862,31565312,2026-03-20 02:06:39.219000+05:30,2026-06-27 13:26:24.904000+05:30
PUBLIC,KAPTURE_PARTNER_TICKETS_REPORT,468112,173976064,2026-02-25 20:02:27.681000+05:30,2026-06-27 13:15:02.784000+05:30
PUBLIC,T_ACCOUNT_BACKUP_20250319,458099,31600128,2026-03-20 01:57:12.170000+05:30,2026-03-20 01:57:13.001000+05:30
PUBLIC,T_ACCOUNT_PRE_MIGRATION,458099,33129472,2025-03-25 19:12:33.307000+05:30,2026-03-23 12:44:35.337000+05:30
DYNAMODB,LEAD_ALLOCATION_PARTNER_SCHEDULER,452002,68214272,2025-06-14 17:07:02.379000+05:30,2026-06-27 13:23:58.691000+05:30
DBT,DIM_CX_CUSTOMER_PARTNER,451016,12332032,2026-06-27 12:54:33.724000+05:30,2026-06-27 12:54:40.297000+05:30
DBT,T_WG_CUSTOMER,449558,39466496,2026-06-23 16:24:40.744000+05:30,2026-06-27 12:54:57.987000+05:30
PUBLIC,T_WG_CUSTOMER,449459,62934528,2025-03-26 12:37:37.081000+05:30,2026-06-27 12:43:53.134000+05:30
PUBLIC,T_WG_CUSTOMER_PRE_MIGRATION,448565,53033984,2026-03-23 13:27:09.629000+05:30,2026-06-27 13:29:41.602000+05:30
PUBLIC,T_WG_CUSTOMER_BACKUP_2026_03_19,447926,52259328,2026-03-19 17:18:40.981000+05:30,2026-03-19 17:18:42.683000+05:30
PUBLIC,CUSTOMER_ENRICHED_DBT,445852,13235200,2026-01-27 15:45:30.793000+05:30,2026-01-27 15:45:39.717000+05:30
PUBLIC,CT_PARTNER_CALLING_MV,429509,38207488,2026-06-22 20:48:35.312000+05:30,2026-06-22 20:48:39.107000+05:30
DYNAMODB,ACCOUNT_WALLET,421481,18764288,2025-03-25 14:27:01.852000+05:30,2026-06-27 13:23:58.296000+05:30
DYNAMODB,TASKS_ROUTER_CONNECTIONS_AUDIT,403882,101647360,2025-04-07 16:16:38.191000+05:30,2026-01-04 17:08:22.260000+05:30
PUBLIC,STG_CUSTOMER_BASE,400993,17773056,2026-04-30 10:53:05.172000+05:30,2026-04-30 10:53:10.269000+05:30
PUBLIC,COMBINED_T_WG_CUSTOMER,359966,38685184,2025-03-25 11:19:46.492000+05:30,2025-08-12 14:00:04.154000+05:30
PUBLIC,INT_INVENTORY_MODEL_LAST_PARTNER_RECEIVED,347314,7273984,2026-06-27 02:16:57.660000+05:30,2026-06-27 02:16:59.086000+05:30
PUBLIC,ROUTER_DETAILS,323951,7535104,2026-06-27 10:12:01.192000+05:30,2026-06-27 10:12:09.903000+05:30
PUBLIC,ROUTER_DETAILS_PRE_MIGRATION,323449,8236544,2026-03-25 13:20:44.246000+05:30,2026-03-25 13:20:44.731000+05:30
PUBLIC,ROUTER_DETAILS_CLONE,322919,7752704,2026-01-14 17:48:09.018000+05:30,2026-01-14 17:48:10.078000+05:30
PUBLIC,CT_PARTNER_ISP_RECHARGE_EVENTS_MV,309532,5201920,2026-06-22 21:07:29.066000+05:30,2026-06-22 21:07:30.757000+05:30
PUBLIC,PARTNER_APP_DEVICE_DETAILS,306387,1752576,2025-09-01 19:29:06.020000+05:30,2026-01-06 08:39:07.057000+05:30
DBT,AGG_PARTNER_FUNNEL,295703,9346560,2026-06-11 18:19:45.515000+05:30,2026-06-11 18:19:47.361000+05:30
PUBLIC,CUSTOMER_BEHAVIORAL_PROFILE,263069,25417216,2026-03-13 15:42:47.655000+05:30,2026-03-16 13:06:13.720000+05:30
PUBLIC,KAPTURE_PARTNER_TICKETS_REPORT_NEW,253010,130963968,2026-06-04 14:44:02.190000+05:30,2026-06-04 14:44:03.209000+05:30
PUBLIC,CUSTOMER_QUERY,236692,29623296,2025-07-07 23:54:51.028000+05:30,2026-06-20 14:54:15.793000+05:30
